Year,Level,Words
20260227,Green Contraction Words,couldn’t [Could not]
20260227,Green Contraction Words,shouldn’t [Should not]
20260227,Green Contraction Words,don’t [Do not]
20260227,Green Contraction Words,hasn’t [Has not]
20260227,Green Contraction Words,hadn’t [Had not]
20260227,Green Contraction Words,haven’t [Have not]
20260227,Green Contraction Words,aren’t [Are not]
20260227,Green Contraction Words,didn’t [Did not]
20260227,Green Contraction Words,weren’t [Were not]
20260227,Red,hand
20260227,Red,land
20260227,Red,plant
20260227,Red,jump
20260227,Red,felt
20260227,Red,left
20260227,Red,gift
20260227,Red,last
20260227,Red,just
20260227,Red,dream
20260227,Red,please
20260227,Red,spent
20260227,Red,tried
20260227,Red,cried
